                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     98,                0.65613,                0.55069,                0.07614,                0.51213,                0.84706,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006832,               0.006832,               0.006832
                     99,                 0.6539,                0.59414,                0.07563,                 0.5138,                0.84715,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006799,               0.006799,               0.006799
                    100,                0.65536,                0.55652,                0.07565,                0.50737,                0.84816,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006766,               0.006766,               0.006766
                    101,                0.65048,                0.56781,                0.07433,                0.50487,                0.84607,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006733,               0.006733,               0.006733
                    102,                0.65451,                0.58649,                0.07497,                0.50803,                0.84707,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 0.0067,                 0.0067,                 0.0067
                    103,                0.65022,                 0.5775,                0.07729,                0.50523,                0.84817,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006667,               0.006667,               0.006667
                    104,                0.64626,                0.54964,                0.07981,                0.50404,                 0.8453,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006634,               0.006634,               0.006634
                    105,                 0.6472,                0.56506,                0.07354,                0.50493,                0.84429,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006601,               0.006601,               0.006601
                    106,                0.64897,                0.54067,                 0.0752,                0.50221,                0.84506,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006568,               0.006568,               0.006568
                    107,                0.64817,                0.53611,                0.07302,                0.50552,                0.84437,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,               0.006535,               0.006535,               0.006535
